Left Riverbank: 	chickens: 87, 	wolves: 85, 	boat: 1
Right Riverbank: 	chickens: 12, 	wolves: 11, 	boat: 0

Left Riverbank: 	chickens: 86, 	wolves: 84, 	boat: 0
Right Riverbank: 	chickens: 13, 	wolves: 12, 	boat: 1

Left Riverbank: 	chickens: 87, 	wolves: 84, 	boat: 1
Right Riverbank: 	chickens: 12, 	wolves: 12, 	boat: 0

Left Riverbank: 	chickens: 85, 	wolves: 84, 	boat: 0
Right Riverbank: 	chickens: 14, 	wolves: 12, 	boat: 1

Left Riverbank: 	chickens: 86, 	wolves: 84, 	boat: 1
Right Riverbank: 	chickens: 13, 	wolves: 12, 	boat: 0

Left Riverbank: 	chickens: 85, 	wolves: 83, 	boat: 0
Right Riverbank: 	chickens: 14, 	wolves: 13, 	boat: 1

Left Riverbank: 	chickens: 86, 	wolves: 83, 	boat: 1
Right Riverbank: 	chickens: 13, 	wolves: 13, 	boat: 0

Left Riverbank: 	chickens: 84, 	wolves: 83, 	boat: 0
Right Riverbank: 	chickens: 15, 	wolves: 13, 	boat: 1

Left Riverbank: 	chickens: 85, 	wolves: 83, 	boat: 1
Right Riverbank: 	chickens: 14, 	wolves: 13, 	boat: 0

Left Riverbank: 	chickens: 84, 	wolves: 82, 	boat: 0
Right Riverbank: 	chickens: 15, 	wolves: 14, 	boat: 1

Left Riverbank: 	chickens: 85, 	wolves: 82, 	boat: 1
Right Riverbank: 	chickens: 14, 	wolves: 14, 	boat: 0

Left Riverbank: 	chickens: 83, 	wolves: 82, 	boat: 0
Right Riverbank: 	chickens: 16, 	wolves: 14, 	boat: 1

Left Riverbank: 	chickens: 84, 	wolves: 82, 	boat: 1
Right Riverbank: 	chickens: 15, 	wolves: 14, 	boat: 0

Left Riverbank: 	chickens: 83, 	wolves: 81, 	boat: 0
Right Riverbank: 	chickens: 16, 	wolves: 15, 	boat: 1

Left Riverbank: 	chickens: 84, 	wolves: 81, 	boat: 1
Right Riverbank: 	chickens: 15, 	wolves: 15, 	boat: 0

Left Riverbank: 	chickens: 82, 	wolves: 81, 	boat: 0
Right Riverbank: 	chickens: 17, 	wolves: 15, 	boat: 1

Left Riverbank: 	chickens: 83, 	wolves: 81, 	boat: 1
Right Riverbank: 	chickens: 16, 	wolves: 15, 	boat: 0

Left Riverbank: 	chickens: 82, 	wolves: 80, 	boat: 0
Right Riverbank: 	chickens: 17, 	wolves: 16, 	boat: 1

Left Riverbank: 	chickens: 83, 	wolves: 80, 	boat: 1
Right Riverbank: 	chickens: 16, 	wolves: 16, 	boat: 0

Left Riverbank: 	chickens: 81, 	wolves: 80, 	boat: 0
Right Riverbank: 	chickens: 18, 	wolves: 16, 	boat: 1

Left Riverbank: 	chickens: 82, 	wolves: 80, 	boat: 1
Right Riverbank: 	chickens: 17, 	wolves: 16, 	boat: 0

Left Riverbank: 	chickens: 81, 	wolves: 79, 	boat: 0
Right Riverbank: 	chickens: 18, 	wolves: 17, 	boat: 1

Left Riverbank: 	chickens: 82, 	wolves: 79, 	boat: 1
Right Riverbank: 	chickens: 17, 	wolves: 17, 	boat: 0

Left Riverbank: 	chickens: 80, 	wolves: 79, 	boat: 0
Right Riverbank: 	chickens: 19, 	wolves: 17, 	boat: 1

Left Riverbank: 	chickens: 81, 	wolves: 79, 	boat: 1
Right Riverbank: 	chickens: 18, 	wolves: 17, 	boat: 0

Left Riverbank: 	chickens: 80, 	wolves: 78, 	boat: 0
Right Riverbank: 	chickens: 19, 	wolves: 18, 	boat: 1

Left Riverbank: 	chickens: 81, 	wolves: 78, 	boat: 1
Right Riverbank: 	chickens: 18, 	wolves: 18, 	boat: 0

Left Riverbank: 	chickens: 79, 	wolves: 78, 	boat: 0
Right Riverbank: 	chickens: 20, 	wolves: 18, 	boat: 1

Left Riverbank: 	chickens: 80, 	wolves: 78, 	boat: 1
Right Riverbank: 	chickens: 19, 	wolves: 18, 	boat: 0

Left Riverbank: 	chickens: 79, 	wolves: 77, 	boat: 0
Right Riverbank: 	chickens: 20, 	wolves: 19, 	boat: 1

Left Riverbank: 	chickens: 80, 	wolves: 77, 	boat: 1
Right Riverbank: 	chickens: 19, 	wolves: 19, 	boat: 0

Left Riverbank: 	chickens: 78, 	wolves: 77, 	boat: 0
Right Riverbank: 	chickens: 21, 	wolves: 19, 	boat: 1

Left Riverbank: 	chickens: 79, 	wolves: 77, 	boat: 1
Right Riverbank: 	chickens: 20, 	wolves: 19, 	boat: 0

Left Riverbank: 	chickens: 78, 	wolves: 76, 	boat: 0
Right Riverbank: 	chickens: 21, 	wolves: 20, 	boat: 1

Left Riverbank: 	chickens: 79, 	wolves: 76, 	boat: 1
